stranka,skupina,glasovi
DEMOKRATI. ANŽETA LOGARJA,democrats,77109
DRŽAVLJANSKO GIBANJE RESNI.CA,others,63937
GIBANJE SVOBODA,others,330164
GLAS UPOKOJENCEV PAVLA RUPARJA,others,3992
KARL ERJAVEC STRANKA ZAUPANJE,others,2907
KOALICIJA ALTERNATIVA ZA SLOVENIJO (STRANKA NIČ OD TEGA IN STRANKA ZA ZDRAVO DRUŽBO),others,4662
LEVICA IN VESNA,others,63174
"MI, SOCIALISTI!",others,5364
"NOVA SLOVENIJA, SLOVENSKA LJUDSKA STRANKA, FOKUS MARKA LOTRIČA",democrats,107268
PIRATSKA STRANKA SLOVENIJE,others,26706
PREROD - STRANKA VLADIMIRJA PREBILIČA,others,35256
"REŠITEV - STRANKA UPOKOJENCEV VELENJE, SLOVENIJA",others,158
SLOGA,others,245
SLOVENSKA DEMOKRATSKA STRANKA - SDS,democrats,323487
SLOVENSKA NACIONALNA STRANKA - SNS,others,26065
SOCIALNI DEMOKRATI,others,77417
ZELENI SLOVENIJE + SG STRANKA GENERACIJ,others,5089
